name,model_type,output_dir,val_loss,val_mae,val_rmse,test_loss,test_mae,test_rmse,status
attention_lstm_baseline,attention_lstm,generated/attention_lstm_attention_lstm_baseline_20260214_170158,0.00037483940832316875,0.00037483940832316875,0.01936076891151301,0.0007605473510921001,0.0007579965167678893,0.027578023672057098,success
attention_lstm_large,attention_lstm,generated/attention_lstm_attention_lstm_large_20260214_170158,0.0002891922486014664,0.0002891922486014664,0.017005653426472228,0.0007190762553364038,0.0007166166324168444,0.026815598658003974,success
transformer_small,transformer,generated/transformer_transformer_small_20260214_170158,0.00025315876700915396,0.00025315876700915396,0.015910965364694076,0.000839316169731319,0.0008365011890418828,0.02897095334872621,success
transformer_baseline,transformer,generated/transformer_transformer_baseline_20260214_170158,0.0003104983479715884,0.0003104983479715884,0.017620964120131855,0.000860353815369308,0.0008574758539907634,0.02933179038765359,success
