,possession_id,rank,value,top_20
0,21,23,0.097591706,False
1,75,18,0.13448507,True
2,81,11,0.23504876,True
3,83,22,0.102584906,False
4,92,35,0.055674493,False
5,100,33,0.062063098,False
6,105,15,0.21240923,True
7,115,29,0.07073168,False
8,117,26,0.080791466,False
9,129,14,0.21256499,True
10,136,2,0.2691232,True
11,138,1,0.96591675,True
