total_value,num_sequences,avg_value,max_value,player_id,player_name,team_name
1.7204727457501576,102,0.016867379860295663,0.1795954,68574,Nicholas Williams Arthuer,Spain
1.2226076898659812,71,0.01721982661783072,0.919108,3943,Declan Rice,England
0.817240982716612,75,0.010896546436221495,0.18794137,316046,Lamine Yamal Nasraoui Ebana,Spain
0.7986860712571797,125,0.0063894885700574375,0.18581058,6655,Fabián Ruiz Peña,Spain
0.6829215585603379,77,0.008869111150134258,0.18076287,3205,Kyle Walker,England
0.6659890413939138,126,0.005285627312650109,0.18482408,5721,Daniel Carvajal Ramos,Spain
0.5687097757690935,152,0.003741511682691405,0.045257244,4353,Aymeric Laporte,Spain
0.5065547517806408,70,0.007236496454009154,0.043256287,16532,Daniel Olmo Carvajal,Spain
0.4688737772812601,66,0.007104148140625153,0.05663157,30714,Jude Bellingham,England
0.44884849125810433,56,0.008015151629609005,0.1461863,22084,Bukayo Saka,England
0.4313174031340168,153,0.002819067994339979,0.019854607,22128,Robin Aime Robert Le Normand,Spain
0.4177736687051947,64,0.0065277135735186675,0.03007022,3468,Jordan Pickford,England
0.31212008497095667,36,0.008670002360304352,0.051290307,3477,Álvaro Borja Morata Martín,Spain
0.3062612938647362,72,0.0042536290814546695,0.10993802,17620,Marc Cucurella Saseta,Spain
0.27824183120173984,35,0.007949766605763995,0.15491927,4354,Phil Foden,England
0.1871788993885275,37,0.005058889172662905,0.04124908,99174,Kobbie Mainoo,England
0.16564977680536686,58,0.0028560306345752906,0.018747523,3244,John Stones,England
0.1646611854666844,8,0.02058264818333555,0.07508417,6685,Mikel Oyarzabal Ugarte,Spain
0.1641747161775129,52,0.0031572060803367863,0.028802894,6765,Rodrigo Hernández Cascante,Spain
0.1616884715622291,40,0.004042211789055727,0.037599258,3382,Luke Shaw,England
0.1506500884424895,49,0.003074491600867133,0.01971503,24921,Martín Zubimendi Ibáñez,Spain
0.1332308739220025,39,0.0034161762544103204,0.015323554,34526,Marc Guehi,England
0.1268140571191907,60,0.0021135676186531784,0.0118616065,11748,Unai Simón Mendibil,Spain
0.12246142886579037,16,0.007653839304111898,0.029797459,10955,Harry Kane,England
0.11358933072187938,17,0.00668172533658114,0.030486822,39461,Cole Palmer,England
0.11195580719504505,5,0.02239116143900901,0.06669199,4760,Ollie Watkins,England
0.016141343978233635,6,0.0026902239963722727,0.009031257,5202,José Ignacio Fernández Iglesias,Spain
