total_value,num_sequences,avg_value,max_value,player_id,player_name,team_name
1.2427846398786642,102,0.012184163136065336,0.1187209,68574,Nicholas Williams Arthuer,Spain
0.9629677360062487,125,0.0077037418880499895,0.055846624,6655,Fabián Ruiz Peña,Spain
0.7769069208297879,126,0.0061659279430935545,0.05038647,5721,Daniel Carvajal Ramos,Spain
0.7095765370177105,70,0.010136807671681578,0.035138994,16532,Daniel Olmo Carvajal,Spain
0.6601640203152783,152,0.004343184344179463,0.058444608,4353,Aymeric Laporte,Spain
0.6580669719260186,153,0.004301091319777899,0.06585466,22128,Robin Aime Robert Le Normand,Spain
0.5715117016807199,75,0.007620156022409598,0.03421619,316046,Lamine Yamal Nasraoui Ebana,Spain
0.5319274057401344,71,0.007491935292114569,0.11291052,3943,Declan Rice,England
0.5284540707943961,66,0.008006879860521152,0.050894346,30714,Jude Bellingham,England
0.4100167937576771,56,0.00732172845995852,0.045448795,22084,Bukayo Saka,England
0.3996008277172223,72,0.005550011496072532,0.047535937,17620,Marc Cucurella Saseta,Spain
0.3938545408891514,77,0.005114994037521446,0.038025897,3205,Kyle Walker,England
0.32512364024296403,17,0.019124920014292,0.13843125,39461,Cole Palmer,England
0.29224214737769216,40,0.007306053684442304,0.057769302,3382,Luke Shaw,England
0.281184998631943,64,0.00439351560362411,0.024037257,3468,Jordan Pickford,England
0.2718851596582681,36,0.007552365546063002,0.040516272,3477,Álvaro Borja Morata Martín,Spain
0.24821401399094611,52,0.0047733464229028095,0.046820063,6765,Rodrigo Hernández Cascante,Spain
0.24676873534917831,49,0.005036096639779149,0.033989176,24921,Martín Zubimendi Ibáñez,Spain
0.23618249542778358,60,0.003936374923796393,0.047695767,11748,Unai Simón Mendibil,Spain
0.2101845018332824,58,0.00362387072126349,0.011816651,3244,John Stones,England
0.18874613486696035,35,0.005392746710484581,0.06267878,4354,Phil Foden,England
0.18410174967721105,37,0.004975722964248947,0.022814149,99174,Kobbie Mainoo,England
0.1753134042955935,39,0.004495215494758808,0.053057343,34526,Marc Guehi,England
0.1294191642664373,16,0.00808869776665233,0.036013145,10955,Harry Kane,England
0.12352520157583058,8,0.015440650196978822,0.04479382,6685,Mikel Oyarzabal Ugarte,Spain
0.09312671609222889,5,0.018625343218445778,0.026878234,4760,Ollie Watkins,England
0.013059391174465418,6,0.0021765651957442365,0.0036079672,5202,José Ignacio Fernández Iglesias,Spain
