name,model_type,output_dir,val_loss,val_mae,val_rmse,test_loss,test_mae,test_rmse,status
lstm_small,lstm,models/lstm_lstm_small_20260204_232051,0.0007041858043521643,0.007889701053500175,0.02653650759766668,0.0003929421945940703,0.0066156848333776,0.019822772112969077,success
lstm_baseline,lstm,models/lstm_lstm_baseline_20260204_232051,0.0007133402395993471,0.008276471868157387,0.02670843219773818,0.0004075896576978266,0.007028383202850819,0.020188851344964835,success
lstm_large,lstm,models/lstm_lstm_large_20260204_232051,0.0006508249207399786,0.007108178921043873,0.02551126518528928,0.00032500960514880717,0.005687966477125883,0.01802802673440716,success
attention_lstm_small,attention_lstm,models/attention_lstm_attention_lstm_small_20260204_232051,0.0005725997616536915,0.0005716986488550901,0.023929056050249656,0.0003464797337073833,0.0003455996047705412,0.01861396412961216,success
attention_lstm_baseline,attention_lstm,models/attention_lstm_attention_lstm_baseline_20260204_232051,0.0005320011405274272,0.0005315516609698534,0.023065145287774348,0.0003223800449632108,0.0003222754457965493,0.017954947526734932,success
attention_lstm_large,attention_lstm,models/attention_lstm_attention_lstm_large_20260204_232051,0.0005189112853258848,0.000518054876010865,0.022779625817178312,0.00028402861789800227,0.00028310526977293193,0.016853148745274372,success
bigru_baseline,bigru,models/bigru_bigru_baseline_20260204_232051,0.0011482574045658112,0.012479591183364391,0.03340369816295731,0.0007860181503929198,0.010828841477632523,0.027451193068669347,success
bigru_medium,bigru,models/bigru_bigru_medium_20260204_232051,0.0011746713425964117,0.01176786981523037,0.03371865162848111,0.0008058468229137361,0.010016463696956635,0.02771504303006992,success
bigru_large,bigru,models/bigru_bigru_large_20260204_232051,0.00168752227909863,0.014242331497371197,0.0352452181591276,0.001303848228417337,0.012508631683886051,0.029301064825273136,success
transformer_baseline,transformer,models/transformer_transformer_baseline_20260204_232051,0.0005009735468775034,0.0005014275084249675,0.02238244637540617,0.00032297923462465405,0.0003244696417823434,0.0179716220109372,success
transformer_true_attention,transformer,models/transformer_transformer_true_attention_20260204_232051,0.0005800341023132205,0.0005789349088445306,0.02408390540576233,0.00030197511659935117,0.00030261039501056075,0.01737743199016945,success
transformer_small,transformer,models/transformer_transformer_small_20260204_232051,0.00048615914420224726,0.0004864377551712096,0.022049018993616953,0.0002787098055705428,0.0002779491769615561,0.01669460452442487,success
transformer_large,transformer,models/transformer_transformer_large_20260204_232051,0.0012067717034369707,0.0012049307115375996,0.0347386145509033,0.0007964029209688306,0.0007988078286871314,0.028220615874255423,success
