name,model_type,output_dir,val_loss,val_mae,val_rmse,test_loss,test_mae,test_rmse,status
lstm_small_dense64,lstm,models/lstm_lstm_small_dense64_20260209_010020,0.000710619380697608,0.008941525593400002,0.02665744300298396,0.0004320003208704293,0.007812664844095707,0.020784615411138865,success
lstm_small_dense128,lstm,models/lstm_lstm_small_dense128_20260209_010020,0.0006571138510480523,0.007653981912881136,0.025634233208892156,0.000364620762411505,0.006328431889414787,0.019095045339778117,success
lstm_baseline_dense64,lstm,models/lstm_lstm_baseline_dense64_20260209_010020,0.0006385204615071416,0.006998045835644007,0.025268964888973334,0.00031867303187027574,0.005553466733545065,0.017851419596849657,success
lstm_baseline_dense128,lstm,models/lstm_lstm_baseline_dense128_20260209_010020,0.0006436018738895655,0.008068915456533432,0.025369310164536182,0.00034340060665272176,0.0067527759820222855,0.01853107417000415,success
lstm_large_dense64,lstm,models/lstm_lstm_large_dense64_20260209_010020,0.0006896802224218845,0.007255004718899727,0.026261761027769327,0.0003623549418989569,0.005863793659955263,0.0190356253582211,success
lstm_large_dense128,lstm,models/lstm_lstm_large_dense128_20260209_010020,0.0006182926008477807,0.007935425266623497,0.024865489385086342,0.00035336051951162517,0.006681181490421295,0.01879787744982971,success
lstm_small_no_dense,lstm,models/lstm_lstm_small_no_dense_20260209_010020,0.0006508341757580638,0.007839055731892586,0.02551145268133834,0.00036977726267650723,0.006684824824333191,0.019229594081464896,success
lstm_baseline_no_dense,lstm,models/lstm_lstm_baseline_no_dense_20260209_010020,0.0006481831660494208,0.008298221975564957,0.025459441995981786,0.0003663384704850614,0.007064554374665022,0.01913997126251206,success
lstm_large_no_dense,lstm,models/lstm_lstm_large_no_dense_20260209_010020,0.0006507011130452156,0.0067315190099179745,0.025508840648984763,0.00033605287899263203,0.005298475734889507,0.018331743305838026,success
