possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
122,0.09281412,"[0.32075086, 0.23668972, 0.13435206, 0.13376132, 0.1744461, 0.0, 0.0, 0.0]",3943043,768,England,2,4521,4530,Pass
38,0.08063668,"[0.25775766, 0.210342, 0.15436122, 0.16437027, 0.21316883, 0.0, 0.0, 0.0]",3943043,772,Spain,1,1374,1378,Pass
10,0.07771209,"[0.38222614, 0.2750463, 0.15927958, 0.18344806, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,287,294,Pass
106,0.070976324,"[0.23740025, 0.20979765, 0.10105949, 0.0977036, 0.13191733, 0.2221217, 0.0, 0.0]",3943043,772,Spain,2,3985,3993,Shot
2,0.070969485,"[0.45021194, 0.34470916, 0.20507893, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,1,0,4,Pass
111,0.067460194,"[0.11567478, 0.14677128, 0.11537991, 0.09193239, 0.10615107, 0.15460826, 0.26948223, 0.0]",3943043,768,England,2,4194,4209,Shot
133,0.06593093,"[0.12816437, 0.10746256, 0.07066581, 0.07515885, 0.10561015, 0.14670397, 0.22116673, 0.14506765]",3943043,772,Spain,2,5038,5044,Pass
117,0.063469194,"[0.077536, 0.072819665, 0.06122481, 0.06477686, 0.10046401, 0.16739868, 0.25615373, 0.19962619]",3943043,768,England,2,4315,4328,Goal
27,0.06209171,"[0.09564923, 0.088928595, 0.06651462, 0.07339791, 0.109482825, 0.16024183, 0.2333447, 0.17244025]",3943043,768,England,1,1002,1014,Pass
44,0.061875515,"[0.087505914, 0.08652028, 0.062414277, 0.061784286, 0.091411576, 0.15641586, 0.24439755, 0.20955019]",3943043,772,Spain,1,1634,1647,Shot
29,0.061691523,"[0.08340441, 0.07811126, 0.06222422, 0.06863917, 0.10404525, 0.17779188, 0.25244716, 0.17333663]",3943043,772,Spain,1,1071,1085,Pass
97,0.061233893,"[0.09765513, 0.09805439, 0.071273156, 0.07262382, 0.08434482, 0.1371609, 0.24825326, 0.19063447]",3943043,772,Spain,2,3526,3531,Pass
66,0.058497906,"[0.07736942, 0.07588906, 0.06125889, 0.06985079, 0.11065579, 0.17262508, 0.2546755, 0.17767543]",3943043,768,England,1,2448,2460,Pass
92,0.054691855,"[0.08940042, 0.07777846, 0.058773216, 0.060690247, 0.08787994, 0.15742476, 0.25259858, 0.2154544]",3943043,772,Spain,2,3307,3323,Shot
63,0.054359812,"[0.08149598, 0.087300695, 0.06366684, 0.06835059, 0.10217794, 0.17165488, 0.24775366, 0.17759944]",3943043,768,England,1,2359,2375,Pass
12,0.05372116,"[0.0888967, 0.07860163, 0.05800821, 0.06064117, 0.08224874, 0.16721997, 0.26976204, 0.1946215]",3943043,772,Spain,1,423,432,Pass
125,0.052811928,"[0.111495554, 0.096869394, 0.0736159, 0.07343286, 0.089667715, 0.12623261, 0.23967381, 0.1890122]",3943043,772,Spain,2,4755,4766,Pass
110,0.052282058,"[0.08743294, 0.09439068, 0.06534649, 0.06711208, 0.09292254, 0.14981286, 0.23807554, 0.20490682]",3943043,772,Spain,2,4138,4147,Shot
100,0.051837534,"[0.076032735, 0.08660623, 0.06764966, 0.074924946, 0.10170436, 0.15187468, 0.23459543, 0.20661196]",3943043,768,England,2,3773,3792,Shot
56,0.050131805,"[0.12809934, 0.10982203, 0.07568396, 0.07520445, 0.09046567, 0.120983295, 0.2278913, 0.17184985]",3943043,772,Spain,1,2000,2012,Pass
87,0.049729012,"[0.105290614, 0.08438766, 0.0598449, 0.060422298, 0.08490394, 0.15055507, 0.25343156, 0.20116398]",3943043,768,England,2,2980,2989,Pass
77,0.04855323,"[0.4253328, 0.362453, 0.21221411, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,2763,2766,Pass
74,0.0459894,"[0.101332776, 0.103703484, 0.075799316, 0.07398321, 0.1024611, 0.13163081, 0.21967863, 0.19141078]",3943043,768,England,1,2640,2648,Shot
107,0.04276537,"[0.36349216, 0.36610502, 0.2704027, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,2,4058,4060,Pass
