possession,game_id,possession_team,length,start_x,start_y,end_x,end_y,period_id,start_time_seconds,end_time_seconds
59,3942819,Netherlands,20,45.71875,23.502499999999998,75.11875,12.537499999999994,2,227.306,259.511
60,3942819,England,7,63.21875,15.682499999999997,76.08125,3.612499999999997,2,261.296,269.244
61,3942819,England,12,67.76875,0.04250000000000398,16.318749999999994,19.932499999999997,2,288.77,313.869
62,3942819,Netherlands,6,16.318749999999998,19.932499999999997,27.606250000000003,30.8975,2,317.159,322.949
63,3942819,Netherlands,20,27.606250000000003,30.8975,59.19375000000001,17.8925,2,338.662,364.843
64,3942819,England,42,59.193749999999994,17.8925,7.65625,22.822499999999998,2,368.371,445.456
65,3942819,England,17,7.65625,22.822499999999998,23.05624999999999,26.4775,2,449.039,480.092
66,3942819,Netherlands,12,23.05625,26.4775,92.44375000000001,1.4024999999999892,2,480.102,494.166
67,3942819,England,8,90.08125,0.04250000000000398,43.96874999999999,3.867500000000007,2,525.89,542.901
68,3942819,Netherlands,20,31.63125000000001,0.04250000000000398,59.19375000000001,4.9724999999999895,2,568.101,605.384
69,3942819,England,3,59.193749999999994,4.972500000000004,43.61875,5.5674999999999955,2,608.361,612.848
70,3942819,England,10,55.168749999999996,0.04250000000000398,41.956250000000004,55.8875,2,618.852,634.593
71,3942819,Netherlands,12,20.518749999999997,50.7025,73.36875,15.2575,2,636.737,651.726
72,3942819,England,70,73.36874999999999,15.2575,17.981250000000003,47.21750000000001,2,653.46,774.893
73,3942819,England,15,48.956250000000004,67.9575,26.29374999999999,22.822499999999998,2,786.713,815.665
74,3942819,Netherlands,9,26.29375,22.822499999999998,56.65625,4.717500000000001,2,815.665,825.323
75,3942819,England,37,55.168749999999996,0.04250000000000398,25.76875000000001,65.8325,2,838.973,891.999
76,3942819,Netherlands,7,26.29375,67.9575,104.51875000000001,48.4925,2,895.012,910.001
77,3942819,England,39,98.91875,41.8625,17.981250000000003,3.612499999999997,2,925.915,995.465
78,3942819,Netherlands,3,17.981250000000003,3.612499999999997,19.03125,6.247500000000002,2,995.465,996.183
79,3942819,Netherlands,25,18.59375,6.927499999999995,97.86875,14.747499999999995,2,1021.903,1058.735
80,3942819,England,5,97.86875,14.747500000000002,81.85625,0.8075000000000045,2,1062.327,1070.077
81,3942819,Netherlands,11,72.49375000000002,0.04250000000000398,69.78125,8.627499999999998,2,1078.466,1090.512
82,3942819,Netherlands,3,68.64375000000001,8.372499999999995,104.16875,35.1475,2,1158.672,1161.507
83,3942819,Netherlands,2,104.95625000000001,0.04250000000000398,104.95625000000001,32.6825,2,1192.406,1193.722
84,3942819,England,4,99.96875,31.577500000000008,61.20625,31.4925,2,1226.225,1236.887
85,3942819,England,16,59.63125,32.4275,25.76875000000001,46.45250000000001,2,1282.579,1302.052
86,3942819,Netherlands,33,17.71875,46.2825,101.01875,28.942500000000003,2,1303.382,1356.376
87,3942819,Netherlands,1,99.88125000000001,41.5225,99.88125000000001,41.5225,2,1407.084,1407.084
